steps,distance_walked,very_active_distance,moderately_active_distance,lightly_active_distance,calories_burnt,physical_activity_score
11490.1,5.4,1.2,2.6,1.6,622.2,6.5
9585.2,4.6,2.3,3.6,0.0,2318.3,7.4
11943.1,5.7,2.5,3.4,0.0,316.2,6.7
14000.0,6.5,3.0,3.9,0.0,359.8,5.8
9297.5,5.2,2.1,4.2,0.0,592.9,7.6
9297.6,4.3,1.1,2.4,0.8,537.9,6.0
14000.0,6.5,1.4,4.8,0.3,2185.8,6.0
12302.3,5.8,2.6,4.3,0.0,586.8,6.9
8591.6,3.9,1.2,1.9,0.7,664.5,5.6
11627.7,6.2,1.7,2.7,1.8,1341.3,6.8
8609.7,4.8,1.8,3.8,0.0,410.2,6.9
8602.8,4.7,1.5,2.7,0.5,333.2,6.4
10725.9,4.7,1.9,1.9,1.0,472.8,6.7
4260.2,1.9,0.7,1.1,0.1,1877.7,3.1
4825.2,2.8,1.2,1.8,0.0,412.8,4.2
8313.1,4.2,1.9,3.0,0.0,348.0,6.4
6961.5,2.9,0.8,2.3,0.0,699.5,4.5
10942.7,5.7,1.7,4.4,0.0,467.5,7.1
7275.9,3.3,1.1,2.5,0.0,386.5,5.0
5763.1,3.8,1.8,1.6,0.4,365.8,5.3
14000.0,6.5,2.0,4.5,0.0,1671.9,6.5
9322.7,5.0,1.6,2.4,1.0,627.8,6.8
10202.6,5.8,2.3,2.7,0.7,545.3,7.2
5725.8,2.9,0.9,2.1,0.0,518.9,4.3
8366.9,4.6,2.2,2.6,0.0,680.6,6.7
10332.8,5.9,2.8,4.5,0.0,391.3,7.2
6547.0,3.4,1.2,1.4,0.8,842.8,4.9
11127.1,5.4,2.1,3.9,0.0,309.9,7.3
8198.1,3.2,0.7,1.5,1.1,467.4,4.9
9124.9,4.5,1.8,2.1,0.5,453.7,6.5
8194.9,4.5,1.9,2.7,0.0,679.8,6.3
14000.0,6.5,2.0,3.6,0.9,443.3,6.5
9959.5,5.2,1.4,3.1,0.7,633.9,6.9
6826.9,3.1,1.5,2.4,0.0,2370.9,5.2
12467.6,5.2,1.7,3.5,0.0,2086.1,6.5
6337.5,2.9,1.2,1.5,0.3,885.3,4.5
10626.6,5.2,1.1,2.4,1.7,552.4,6.6
4121.0,1.9,0.6,1.1,0.2,538.6,3.0
6015.4,3.3,1.5,1.9,0.0,304.7,4.9
10590.6,6.3,2.0,4.0,0.3,579.7,7.2
12215.4,6.2,2.4,3.1,0.7,322.3,6.8
10514.1,5.1,1.4,3.6,0.2,374.2,6.7
9653.1,4.7,1.5,2.1,1.1,339.4,6.6
9096.7,4.6,2.2,2.9,0.0,451.3,6.9
5564.4,2.4,0.9,1.5,0.0,618.3,3.8
7840.5,4.0,1.9,1.9,0.2,583.0,5.9
8618.1,4.5,2.1,3.3,0.0,2471.5,7.0
13171.4,6.5,3.0,4.2,0.0,619.4,6.1
11030.9,5.7,2.7,3.8,0.0,1658.6,6.9
4710.9,2.6,0.5,1.5,0.5,1959.2,3.6
10972.3,4.6,2.2,3.5,0.0,389.5,7.2
8844.8,4.7,1.1,3.2,0.4,1690.7,6.3
7969.2,3.6,0.8,2.0,0.9,2052.8,5.2
11835.0,5.4,1.2,2.7,1.5,1635.2,6.4
13093.0,6.0,1.8,2.6,1.6,2494.0,6.6
12793.8,6.5,2.5,3.0,1.0,418.1,6.5
7482.3,3.6,1.2,2.9,0.0,618.0,5.4
9072.4,3.7,0.8,2.1,0.8,675.4,5.4
10993.8,5.7,2.0,4.4,0.0,529.2,7.3
12926.6,5.7,1.9,2.7,1.1,336.4,6.6
8562.5,4.4,1.9,2.5,0.0,500.8,6.3
9443.0,4.8,1.4,3.8,0.0,699.5,6.7
6681.0,3.8,1.0,1.7,1.1,1825.4,5.1
